Datum,Region,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
1587679200,SOK,117,78,9,2,0,0
1587679200,SHK,55,48,1,2,0,0
1587679200,EA,16,10,1,1,0,0
1587679200,EF,131,110,2,2,0,0
1587679200,G,124,53,2,9,0,0
1587679200,WE,60,52,0,1,0,0
1587679200,SLF,56,53,0,0,0,0
1587679200,NDH,56,38,1,3,1,0
1587679200,EIC,113,92,3,1,0,0
1587679200,ABG,47,33,3,1,0,0
1587679200,KYF,37,35,0,0,0,0
1587679200,SON,77,47,1,1,0,0
1587679200,WAK,37,29,0,0,0,0
1587679200,TH,2023,1449,65,55,2,0
1587679200,IK,120,98,4,0,0,0
1587679200,J,156,151,3,1,0,0
1587679200,SHL,13,9,2,0,0,0
1587679200,GRZ,364,232,22,21,0,0
1587679200,SM,85,58,2,3,0,0
1587679200,HBN,19,11,1,1,0,0
1587679200,GTH,168,76,3,6,1,0
1587679200,UH,68,49,1,0,0,0
1587679200,AP,67,53,4,0,0,0
1587679200,SOM,37,34,0,0,0,0
1587765600,SOK,117,82,10,0,4,1
1587765600,SHK,55,48,1,0,0,0
1587765600,EA,16,10,1,0,0,0
1587765600,EF,131,111,2,0,1,0
1587765600,G,127,55,4,3,2,2
1587765600,WE,60,53,0,0,1,0
1587765600,SLF,57,53,0,1,0,0
1587765600,NDH,56,39,1,0,1,0
1587765600,EIC,113,93,3,0,1,0
1587765600,ABG,47,33,3,0,0,0
1587765600,KYF,37,35,0,0,0,0
1587765600,SON,82,48,1,5,1,0
1587765600,WAK,38,30,0,1,1,0
1587765600,TH,2058,1470,71,35,21,6
1587765600,IK,121,99,4,1,1,0
1587765600,J,156,151,3,0,0,0
1587765600,SHL,13,10,2,0,1,0
1587765600,GRZ,377,235,22,13,3,0
1587765600,SM,90,58,2,5,0,0
1587765600,HBN,20,12,1,1,1,0
1587765600,GTH,171,79,6,3,3,3
1587765600,UH,70,49,1,2,0,0
1587765600,AP,67,53,4,0,0,0
1587765600,SOM,37,34,0,0,0,0
1587852000,SOK,118,83,10,1,1,0
1587852000,SHK,55,48,1,0,0,0
