timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+
1581638400,A,0,0,1,1,0,0
1581638400,F,0,0,0,1,0,0
1581638400,M,0,0,1,0,0,0
1581811200,A,0,0,1,1,0,1
1581811200,F,0,0,0,1,0,0
1581811200,M,0,0,1,0,0,1
1582156800,A,0,0,1,2,0,1
1582156800,F,0,0,0,1,0,0
1582156800,M,0,0,1,1,0,1
1582329600,A,0,0,1,3,0,1
1582329600,F,0,0,0,2,0,0
1582329600,M,0,0,1,1,0,1
1582675200,A,0,0,2,3,0,1
1582675200,F,0,0,1,2,0,0
1582675200,M,0,0,1,1,0,1
1582761600,A,0,0,2,4,0,3
1582761600,F,0,0,1,3,0,1
1582761600,M,0,0,1,1,0,2
1583020800,A,0,0,3,5,1,3
1583020800,F,0,0,2,3,0,1
1583020800,M,0,0,1,2,1,2
1583107200,A,0,0,4,6,1,4
1583107200,F,0,0,3,4,0,1
1583107200,M,0,0,1,2,1,3
1583193600,A,0,0,5,7,2,5
1583193600,F,0,0,4,5,1,2
1583193600,M,0,0,1,2,1,3
1583280000,A,0,0,6,12,4,5
1583280000,F,0,0,5,7,2,2
1583280000,M,0,0,1,5,2,3
1583366400,A,0,0,6,14,4,5
1583366400,F,0,0,5,7,2,2
1583366400,M,0,0,1,7,2,3
1583452800,A,0,0,8,18,5,5
1583452800,F,0,0,5,9,2,2
1583452800,M,0,0,3,9,3,3
1583539200,A,0,0,9,24,7,5
1583539200,F,0,0,5,10,3,2
1583539200,M,0,0,4,14,4,3
1583625600,A,0,1,11,26,10,5
1583625600,F,0,0,6,11,5,2
1583625600,M,0,1,5,15,5,3
1583712000,A,0,1,13,31,13,5
1583712000,F,0,0,6,14,6,2
1583712000,M,0,1,7,17,7,3
1583798400,A,0,1,18,43,18,7
1583798400,F,0,0,9,18,7,2
1583798400,M,0,1,9,25,11,5
1583884800,A,0,2,23,61,20,7
1583884800,F,0,1,13,25,7,2
1583884800,M,0,1,10,36,13,5
1583971200,A,0,3,34,78,21,7
1583971200,F,0,1,19,31,7,2
1583971200,M,0,2,15,47,14,5
1584057600,A,1,3,52,99,26,8
1584057600,F,1,1,28,42,8,2
1584057600,M,0,2,24,57,18,6
1584144000,A,1,5,64,115,33,9
1584144000,F,1,2,30,51,11,3
1584144000,M,0,3,34,64,22,6
1584230400,A,2,5,72,138,41,10
1584230400,F,2,2,34,60,16,4
1584230400,M,0,3,38,78,25,6
1584316800,A,3,6,96,185,55,14
1584316800,F,2,3,45,81,23,7
1584316800,M,1,3,51,104,32,7
1584403200,A,3,8,117,207,69,17
1584403200,F,2,3,53,91,31,8
1584403200,M,1,5,64,116,38,9
1584489600,A,5,8,140,236,78,23
1584489600,F,3,3,63,101,36,11
1584489600,M,2,5,77,135,42,12
1584576000,A,5,8,152,267,84,25
1584576000,F,3,3,67,114,41,12
1584576000,M,2,5,85,153,43,13
1584662400,A,7,10,170,302,93,33
1584662400,F,4,4,76,134,45,16
1584662400,M,3,6,94,168,48,17
1584748800,A,7,14,185,321,105,37
1584748800,F,4,6,82,143,51,19
1584748800,M,3,8,103,178,54,18
1584835200,A,7,15,188,335,114,41
1584835200,F,4,6,84,153,56,22
1584835200,M,3,9,104,182,58,19
1584921600,A,7,16,200,376,134,47
1584921600,F,4,6,92,175,66,25
1584921600,M,3,10,108,201,68,22
1585008000,A,7,16,206,398,158,50
1585008000,F,4,6,94,190,77,28
1585008000,M,3,10,112,208,81,22
1585094400,A,7,17,208,420,172,59
1585094400,F,4,6,95,205,83,33
1585094400,M,3,11,113,215,89,26
1585180800,A,7,18,215,452,181,66
1585180800,F,4,7,97,220,87,35
1585180800,M,3,11,118,232,94,31
1585267200,A,7,18,223,487,195,70
1585267200,F,4,7,101,239,96,38
1585267200,M,3,11,122,248,99,32
1585353600,A,8,18,232,509,204,70
1585353600,F,4,7,108,254,98,38
1585353600,M,4,11,124,255,106,32
1585440000,A,9,18,235,519,213,73
1585440000,F,5,7,110,259,102,39
1585440000,M,4,11,125,260,111,34
1585526400,A,10,18,245,536,229,77
1585526400,F,5,7,116,272,108,41
1585526400,M,5,11,129,264,121,36
1585612800,A,10,18,251,549,237,80
1585612800,F,5,7,119,280,111,43
1585612800,M,5,11,132,269,126,37
1585699200,A,11,19,267,571,246,87
1585699200,F,5,7,129,295,117,48
1585699200,M,6,12,138,276,129,39
1585785600,A,11,19,274,594,258,90
1585785600,F,5,7,134,311,123,50
1585785600,M,6,12,140,283,135,40
1585872000,A,11,20,288,613,271,97
1585872000,F,5,8,142,323,131,54
1585872000,M,6,12,146,290,140,43
1585958400,A,11,23,298,630,285,102
1585958400,F,5,8,147,331,136,55
1585958400,M,6,15,151,299,149,47
1586044800,A,11,23,310,654,292,110
1586044800,F,5,8,151,343,140,59
1586044800,M,6,15,159,311,152,51
1586131200,A,11,24,316,674,301,112
1586131200,F,5,9,154,356,143,60
1586131200,M,6,15,162,318,158,52
1586217600,A,12,24,326,691,310,117
1586217600,F,6,9,162,370,145,62
1586217600,M,6,15,164,321,165,55
1586304000,A,12,25,335,710,317,125
1586304000,F,6,9,170,377,147,66
1586304000,M,6,16,165,333,170,59
1586390400,A,12,25,348,725,326,131
1586390400,F,6,9,181,387,150,70
1586390400,M,6,16,167,338,176,61
1586476800,A,12,25,356,740,335,142
1586476800,F,6,9,184,398,154,76
1586476800,M,6,16,172,342,181,66
1586563200,A,12,26,359,748,344,148
1586563200,F,6,9,186,403,159,81
1586563200,M,6,17,173,345,185,67
1586649600,A,12,27,366,760,354,156
1586649600,F,6,9,190,410,164,84
1586649600,M,6,18,176,350,190,72
1586736000,A,12,27,376,773,361,163
1586736000,F,6,9,196,418,168,90
1586736000,M,6,18,180,355,193,73
1586822400,A,12,28,387,786,369,174
1586822400,F,6,10,203,423,174,97
1586822400,M,6,18,184,363,195,77
1586908800,A,12,29,392,802,376,180
1586908800,F,6,11,206,434,177,100
1586908800,M,6,18,186,368,199,80
1586995200,A,12,31,401,814,388,194
1586995200,F,6,13,211,440,181,109
1586995200,M,6,18,190,374,207,85
1587081600,A,13,33,405,824,396,207
1587081600,F,7,15,212,445,185,117
1587081600,M,6,18,193,379,211,90
1587168000,A,13,33,416,836,404,210
1587168000,F,7,15,219,455,192,119
1587168000,M,6,18,197,381,212,91
1587254400,A,13,33,419,849,410,217
1587254400,F,7,15,220,463,194,125
1587254400,M,6,18,199,386,216,92
1587340800,A,13,33,431,866,423,232
1587340800,F,7,15,227,472,198,138
1587340800,M,6,18,204,394,225,94
1587427200,A,14,34,444,883,442,239
1587427200,F,8,15,231,483,207,143
1587427200,M,6,19,213,400,235,96
1587513600,A,14,35,451,902,453,243
1587513600,F,8,15,234,497,211,145
1587513600,M,6,20,217,405,242,98
1587600000,A,14,35,463,922,462,249
1587600000,F,8,15,241,509,214,150
1587600000,M,6,20,222,413,248,99
1587686400,A,14,35,476,938,468,258
1587686400,F,8,15,249,518,216,158
1587686400,M,6,20,227,420,252,100
1587772800,A,16,35,481,947,472,264
1587772800,F,9,15,252,522,218,163
1587772800,M,7,20,229,425,254,101
1587859200,A,16,35,485,959,481,267
1587859200,F,9,15,254,531,223,165
1587859200,M,7,20,231,428,258,102
1587945600,A,16,35,494,970,491,276
1587945600,F,9,15,260,539,229,173
1587945600,M,7,20,234,431,262,103
1588032000,A,16,36,497,988,506,291
1588032000,F,9,16,262,550,237,184
1588032000,M,7,20,235,438,269,107
1588118400,A,16,36,504,997,515,297
1588118400,F,9,16,267,555,241,188
1588118400,M,7,20,237,442,274,109
1588204800,A,16,37,513,1008,524,311
1588204800,F,9,16,271,563,243,194
1588204800,M,7,21,242,445,281,117
1588291200,A,16,37,517,1015,530,317
1588291200,F,9,16,274,569,247,199
1588291200,M,7,21,243,446,283,118
1588377600,A,16,37,519,1020,533,322
1588377600,F,9,16,275,572,249,202
1588377600,M,7,21,244,448,284,120
1588464000,A,16,37,525,1029,537,327
1588464000,F,9,16,277,577,253,203
1588464000,M,7,21,248,452,284,124
1588550400,A,16,37,535,1040,543,339
1588550400,F,9,16,283,583,256,212
1588550400,M,7,21,252,457,287,127
1588636800,A,16,37,539,1048,550,351
1588636800,F,9,16,287,589,261,223
1588636800,M,7,21,252,459,289,128
1588723200,A,16,37,549,1055,559,356
1588723200,F,9,16,293,591,265,226
1588723200,M,7,21,256,464,294,130
1588809600,A,16,40,553,1066,566,367
1588809600,F,9,18,295,599,267,233
1588809600,M,7,22,258,467,299,134
1588896000,A,16,40,554,1078,570,374
1588896000,F,9,18,296,603,267,237
1588896000,M,7,22,258,475,303,137
1588982400,A,16,40,554,1089,575,377
1588982400,F,9,18,296,606,270,239
1588982400,M,7,22,258,483,305,138
1589068800,A,16,40,555,1097,580,379
1589068800,F,9,18,296,611,273,241
1589068800,M,7,22,259,486,307,138
1589155200,A,16,42,558,1113,582,382
1589155200,F,9,20,298,621,274,244
1589155200,M,7,22,260,492,308,138
1589241600,A,16,42,560,1117,587,386
1589241600,F,9,20,298,624,276,246
1589241600,M,7,22,262,493,311,140
1589328000,A,16,43,563,1124,591,389
1589328000,F,9,21,299,630,280,247
1589328000,M,7,22,264,494,311,142
1589414400,A,16,43,564,1135,600,394
1589414400,F,9,21,300,638,283,250
1589414400,M,7,22,264,497,317,144
1589500800,A,16,43,568,1142,602,395
1589500800,F,9,21,303,645,284,251
1589500800,M,7,22,265,497,318,144
1589587200,A,16,45,572,1152,604,400
1589587200,F,9,21,306,651,286,253
1589587200,M,7,24,266,501,318,147
1589673600,A,16,47,574,1156,606,402
1589673600,F,9,22,308,653,286,253
1589673600,M,7,25,266,503,320,149
1589760000,A,16,47,576,1169,612,403
1589760000,F,9,22,309,664,290,254
1589760000,M,7,25,267,505,322,149
1589846400,A,17,49,577,1179,613,408
1589846400,F,9,23,310,670,290,257
1589846400,M,8,26,267,509,323,151
1589932800,A,17,49,579,1187,616,412
1589932800,F,9,23,311,677,292,260
1589932800,M,8,26,268,510,324,152
1590019200,A,17,49,583,1193,622,413
1590019200,F,9,23,313,681,297,260
1590019200,M,8,26,270,512,325,153
1590105600,A,17,50,586,1201,628,417
1590105600,F,9,24,315,689,301,263
1590105600,M,8,26,271,512,327,154
1590192000,A,17,51,589,1207,631,419
1590192000,F,9,24,317,691,302,265
1590192000,M,8,27,272,516,329,154
1590278400,A,17,51,590,1215,633,420
1590278400,F,9,24,318,697,303,266
1590278400,M,8,27,272,518,330,154
1590364800,A,17,51,592,1222,641,425
1590364800,F,9,24,319,700,307,271
1590364800,M,8,27,273,522,334,154
1590451200,A,17,52,594,1230,648,429
1590451200,F,9,24,321,707,311,274
1590451200,M,8,28,273,523,337,155
1590537600,A,17,53,600,1237,653,434
1590537600,F,9,25,325,711,314,279
1590537600,M,8,28,275,526,339,155
1590624000,A,17,54,602,1245,656,443
1590624000,F,9,25,326,717,316,285
1590624000,M,8,29,276,528,340,158
1590710400,A,18,55,603,1250,660,443
1590710400,F,9,25,326,720,320,285
1590710400,M,9,30,277,530,340,158
1590796800,A,18,56,603,1254,662,448
1590796800,F,9,25,326,723,321,290
1590796800,M,9,31,277,531,341,158
1590883200,A,18,56,603,1258,664,451
1590883200,F,9,25,326,726,321,291
1590883200,M,9,31,277,532,343,160
1590969600,A,18,56,603,1260,665,451
1590969600,F,9,25,326,726,321,291
1590969600,M,9,31,277,534,344,160
1591056000,A,18,57,603,1265,667,453
1591056000,F,9,26,326,730,321,293
1591056000,M,9,31,277,535,346,160
1591142400,A,18,58,607,1274,670,454
1591142400,F,9,26,329,736,322,293
1591142400,M,9,32,278,538,348,161
1591228800,A,19,58,609,1276,674,454
1591228800,F,10,26,331,737,325,293
1591228800,M,9,32,278,539,349,161
1591315200,A,20,62,614,1284,678,458
1591315200,F,10,27,335,743,326,296
1591315200,M,10,35,279,541,352,162
1591401600,A,20,62,615,1287,680,459
1591401600,F,10,27,336,745,327,297
1591401600,M,10,35,279,542,353,162
1591488000,A,20,62,616,1290,681,460
1591488000,F,10,27,337,748,328,297
1591488000,M,10,35,279,542,353,163
1591574400,A,20,62,617,1293,684,460
1591574400,F,10,27,337,751,329,297
1591574400,M,10,35,280,542,355,163
1591660800,A,20,62,617,1296,686,462
1591660800,F,10,27,337,752,330,299
1591660800,M,10,35,280,544,356,163
1591747200,A,20,62,618,1299,690,469
1591747200,F,10,27,338,753,331,305
1591747200,M,10,35,280,546,359,164
1591833600,A,20,63,619,1306,693,474
1591833600,F,10,27,338,758,332,310
1591833600,M,10,36,281,548,361,164
1591920000,A,21,63,619,1307,695,474
1591920000,F,11,27,338,759,332,310
1591920000,M,10,36,281,548,363,164
1592006400,A,21,64,622,1311,697,479
1592006400,F,11,27,338,761,332,314
1592006400,M,10,37,284,550,365,165
1592092800,A,22,64,622,1312,697,482
1592092800,F,12,27,338,762,332,317
1592092800,M,10,37,284,550,365,165
1592179200,A,22,64,623,1316,698,482
1592179200,F,12,27,338,766,333,317
1592179200,M,10,37,285,550,365,165
1592265600,A,22,65,625,1319,699,486
1592265600,F,12,27,339,767,333,319
1592265600,M,10,38,286,552,366,167
1592352000,A,22,65,625,1320,701,487
1592352000,F,12,27,339,767,334,320
1592352000,M,10,38,286,553,367,167
1592438400,A,23,65,626,1321,702,488
1592438400,F,12,27,339,768,334,321
1592438400,M,11,38,287,553,368,167
1592524800,A,24,65,626,1322,703,489
1592524800,F,13,27,339,769,335,322
1592524800,M,11,38,287,553,368,167
1592611200,A,24,65,626,1324,704,491
1592611200,F,13,27,339,771,336,323
1592611200,M,11,38,287,553,368,168
1592697600,A,25,65,627,1326,704,491
1592697600,F,13,27,340,771,336,323
1592697600,M,12,38,287,555,368,168
1592784000,A,25,65,630,1327,705,492
1592784000,F,13,27,341,772,336,324
1592784000,M,12,38,289,555,369,168
1592870400,A,25,65,630,1328,705,493
1592870400,F,13,27,341,772,336,325
1592870400,M,12,38,289,556,369,168
1592956800,A,25,65,630,1329,705,494
1592956800,F,13,27,341,772,336,326
1592956800,M,12,38,289,557,369,168
1593043200,A,25,65,630,1330,707,494
1593043200,F,13,27,341,773,337,326
1593043200,M,12,38,289,557,370,168
1593129600,A,25,65,630,1330,708,495
1593129600,F,13,27,341,773,338,327
1593129600,M,12,38,289,557,370,168
1593216000,A,25,65,631,1332,709,495
1593216000,F,13,27,341,774,339,327
1593216000,M,12,38,290,558,370,168
1593302400,A,25,65,631,1332,710,495
1593302400,F,13,27,341,774,340,327
1593302400,M,12,38,290,558,370,168
1593388800,A,25,65,632,1332,710,495
1593388800,F,13,27,341,774,340,327
1593388800,M,12,38,291,558,370,168
1593475200,A,25,67,633,1333,711,495
1593475200,F,13,28,342,774,340,327
1593475200,M,12,39,291,559,371,168
1593561600,A,26,67,635,1334,711,495
1593561600,F,14,28,343,775,340,327
1593561600,M,12,39,292,559,371,168
1593648000,A,26,67,635,1335,712,496
1593648000,F,14,28,343,775,341,328
1593648000,M,12,39,292,560,371,168
1593820800,A,26,68,636,1337,712,498
1593820800,F,14,28,343,776,341,329
1593820800,M,12,40,293,561,371,169
1593907200,A,26,68,638,1337,713,498
1593907200,F,14,28,344,776,341,329
1593907200,M,12,40,294,561,372,169
1593993600,A,26,68,640,1337,714,499
1593993600,F,14,28,344,776,341,330
1593993600,M,12,40,296,561,373,169
1594080000,A,26,68,641,1339,715,499
1594080000,F,14,28,345,777,342,330
1594080000,M,12,40,296,562,373,169
1594166400,A,26,68,642,1339,717,499
1594166400,F,14,28,346,777,342,330
1594166400,M,12,40,296,562,375,169
1594252800,A,26,68,643,1342,718,499
1594252800,F,14,28,346,777,343,330
1594252800,M,12,40,297,565,375,169
1594339200,A,27,68,645,1344,718,499
1594339200,F,15,28,347,778,343,330
1594339200,M,12,40,298,566,375,169
1594425600,A,27,68,647,1346,718,500
1594425600,F,15,28,347,779,343,331
1594425600,M,12,40,300,567,375,169
1594512000,A,27,68,648,1347,719,500
1594512000,F,15,28,347,779,343,331
1594512000,M,12,40,301,568,376,169
1594598400,A,27,68,648,1347,720,500
1594598400,F,15,28,347,779,343,331
1594598400,M,12,40,301,568,377,169
1594684800,A,27,69,649,1350,720,500
1594684800,F,15,29,348,780,343,331
1594684800,M,12,40,301,570,377,169
1594771200,A,27,70,651,1351,721,501
1594771200,F,15,29,349,781,343,331
1594771200,M,12,41,302,570,378,170
1594857600,A,27,70,652,1351,721,501
1594857600,F,15,29,349,781,343,331
1594857600,M,12,41,303,570,378,170
1594944000,A,27,71,654,1352,721,501
1594944000,F,15,30,351,782,343,331
1594944000,M,12,41,303,570,378,170
1595030400,A,27,71,654,1353,721,501
1595030400,F,15,30,351,782,343,331
1595030400,M,12,41,303,571,378,170
1595116800,A,27,71,655,1355,721,501
1595116800,F,15,30,352,784,343,331
1595116800,M,12,41,303,571,378,170
1595203200,A,27,72,655,1355,723,502
1595203200,F,15,31,352,784,343,332
1595203200,M,12,41,303,571,380,170
1595289600,A,27,73,657,1357,723,502
1595289600,F,15,32,352,786,343,332
1595289600,M,12,41,305,571,380,170
1595376000,A,27,75,658,1357,723,502
1595376000,F,15,33,352,786,343,332
1595376000,M,12,42,306,571,380,170
1595462400,A,28,77,660,1360,724,504
1595462400,F,15,34,354,787,343,333
1595462400,M,13,43,306,573,381,171
1595548800,A,28,77,661,1361,724,505
1595548800,F,15,34,354,787,343,334
1595548800,M,13,43,307,574,381,171
1595635200,A,28,77,663,1362,724,506
1595635200,F,15,34,355,787,343,335
1595635200,M,13,43,308,575,381,171
1595808000,A,28,77,663,1364,724,506
1595808000,F,15,34,355,787,343,335
1595808000,M,13,43,308,577,381,171
1595894400,A,28,77,665,1365,724,506
1595894400,F,15,34,356,788,343,335
1595894400,M,13,43,309,577,381,171
1595980800,A,28,77,667,1367,724,506
1595980800,F,15,34,357,789,343,335
1595980800,M,13,43,310,578,381,171
1596067200,A,28,77,670,1369,727,507
1596067200,F,15,34,357,790,343,336
1596067200,M,13,43,313,579,384,171
1596153600,A,28,78,671,1370,730,507
1596153600,F,15,35,357,791,344,336
1596153600,M,13,43,314,579,386,171
1596240000,A,28,78,674,1371,730,510
1596240000,F,15,35,359,791,344,339
1596240000,M,13,43,315,580,386,171
1596326400,A,28,78,676,1372,730,511
1596326400,F,15,35,359,792,344,339
1596326400,M,13,43,317,580,386,172
1596412800,A,28,79,682,1374,731,511
1596412800,F,15,36,362,794,344,339
1596412800,M,13,43,320,580,387,172
1596499200,A,28,79,683,1374,731,511
