datum,gesamt,genesene,tote,stationaere,schwere,quelle
1587510609,73,-1,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1587567638,76,-1,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1587650435,80,-1,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1587895237,88,-1,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1588003241,94,-1,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1588082440,97,44,-1,-1,-1,https://www.kreis-sonneberg.de/news/wichtige-hinweise-zum-coronavirus-1
1588341600,112,44,5,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588428000,114,48,5,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588428000,114,48,5,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588503644,115,48,5,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588604449,119,52,5,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588748443,122,52,6,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588845647,127,53,7,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588860047,138,54,7,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1588951265,146,56,10,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589022046,153,60,10,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589108446,155,60,10,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589212845,158,60,11,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589292323,164,60,11,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589378446,168,62,12,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589472041,170,64,12,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589540445,173,64,12,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589626842,175,74,13,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589706040,185,74,13,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589713241,185,80,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589810446,187,80,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589900440,193,91,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1589986841,200,97,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1590058839,206,99,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1590145240,206,101,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1590231641,208,102,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1590321644,209,102,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
1590418844,210,102,14,-1,-1,https://www.kreis-sonneberg.de/news/information-zum-infektionsgeschehen-im-landkreis-sonneberg
