Datum,TH,ABG,EIC,EA,EF,G,GTH,GRZ,HBN,IK,J,KYF,NDH,SHK,SOK,SLF,SM,SOM,SON,SHL,UH,WAK,WE,AP
1587600000,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1587686400,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1587772800,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1587859200,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1587945600,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1588032000,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1588118400,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
1588204800,14.06,5.59,16.00,11.83,0.93,36.51,51.15,83.16,6.33,0.94,1.80,2.69,3.60,3.62,11.21,6.78,10.41,-1.44,48.51,0.00,7.83,3.36,4.60,2.43
1588291200,12.98,5.59,17.00,11.83,0.93,34.36,51.15,73.92,4.75,0.00,1.80,5.39,3.60,3.62,11.21,5.81,6.40,0.00,39.85,0.00,5.87,2.52,4.60,2.43
1588377600,11.58,5.59,15.00,14.20,0.93,31.14,42.25,61.60,4.75,1.88,1.80,5.39,3.60,4.82,9.96,5.81,6.40,0.00,29.45,0.00,5.87,4.20,4.60,2.43
1588464000,11.02,5.59,18.00,14.20,0.93,28.99,37.06,59.55,4.75,1.88,1.80,5.39,2.40,4.82,7.47,5.81,6.40,0.00,29.45,0.00,5.87,4.20,3.07,2.43
1588550400,11.62,4.47,18.00,14.20,0.47,26.85,33.36,74.95,6.33,1.88,0.90,5.39,1.20,3.62,7.47,4.85,6.40,1.44,46.78,0.00,5.87,3.36,3.07,2.43
1588636800,12.14,2.24,12.00,14.20,0.47,22.55,28.91,96.51,6.33,3.76,0.90,4.04,1.20,4.82,11.21,5.81,7.20,1.44,51.98,0.00,3.91,3.36,3.07,2.43
1588723200,9.28,2.24,6.00,4.73,0.93,13.96,19.27,81.11,7.91,3.76,0.90,2.69,1.20,7.23,9.96,0.97,8.01,1.44,32.92,0.00,1.96,2.52,3.07,3.65
1588809600,8.86,2.24,7.00,4.73,0.93,18.26,14.08,75.98,7.91,5.65,0.90,2.69,1.20,4.82,6.23,1.94,7.20,1.44,36.38,0.00,0.98,3.36,3.07,2.43
