datum,gesamt,genesene,tote,stationaere,schwere,quelle
1584653175,11,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1584954004,12,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1584982804,13,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585051205,16,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585069205,16,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585072805,20,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585148405,20,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585152006,21,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585234810,22,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585238415,22,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585303206,24,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585411203,27,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585558803,29,0,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585582972,31,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585652404,33,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585742404,37,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585828804,40,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585843204,41,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585904404,42,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1585908005,44,2,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586028875,46,6,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586116804,49,6,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586203204,50,8,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586448006,54,9,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586545204,54,18,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586790004,57,31,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1586970005,57,32,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587063606,57,38,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587139204,57,40,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587225604,57,43,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587384005,57,44,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587470405,58,44,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587488406,58,47,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587657609,59,48,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587747607,60,48,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587913204,61,53,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1587996005,61,54,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588176010,61,55,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588262405,63,55,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588611605,64,55,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588690809,64,56,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588780806,64,58,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1588863605,65,58,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1589385605,65,60,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1589558406,65,61,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1589810408,65,64,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1589904005,68,64,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1589986805,68,65,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1591718405,68,68,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1591808405,69,68,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1593597605,69,69,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1594497605,71,69,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1594659605,72,69,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1595444405,81,70,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1595674800,86,70,0,-1,-1,https://twitter.com/stadtweimar/status/1286953709004632064
1595869205,89,70,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1595941205,89,71,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1595970000,90,71,0,-1,-1,https://twitter.com/stadtweimar/status/1288166376880984066
1596117605,90,77,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1596438005,91,82,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1596528005,91,87,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1596556805,91,88,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1596726005,92,90,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1596805205,93,91,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1597075205,94,91,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1597672804,97,92,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1598000404,98,93,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1598281205,100,97,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1598551205,101,97,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1598709605,103,97,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599058805,103,99,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599141605,104,99,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599465606,107,100,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599652804,108,103,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599663604,109,104,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1599750004,110,104,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1600095605,118,104,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1600268403,120,107,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1600696804,121,113,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1600765204,121,115,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1600941604,122,115,0,-1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601035204,122,118,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601305204,122,120,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601460005,124,120,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601564404,134,121,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601647204,137,121,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601834404,142,121,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1601996404,144,121,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602082809,145,122,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602165604,146,122,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602432004,146,130,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602511204,146,134,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602601204,146,138,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602684004,146,143,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1602774004,146,145,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603121509,147,145,0,0,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603350004,153,146,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603378804,158,146,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603468804,164,146,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603645204,176,146,0,1,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603731604,177,146,0,2,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603814404,188,146,0,2,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603911379,207,149,0,2,-1,https://stadt.weimar.de/aktuell/coronavirus/
1603997779,221,151,0,3,-1,https://stadt.weimar.de/aktuell/coronavirus/
1604084179,236,155,0,5,-1,https://stadt.weimar.de/aktuell/coronavirus/
