datum,gesamt,genesene,tote,stationaere,schwere,quelle
1584352800,3,0,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584439200,3,0,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584525600,4,0,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584612000,4,1,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584698400,6,1,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584781200,7,2,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584867600,7,2,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1584954000,7,3,0,1,0,https://corona.thueringen.de/covid-19-bulletin
1585040400,8,3,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585126800,8,3,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585213200,10,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585299600,11,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585386000,27,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585468800,27,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585555200,31,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585641600,34,-1,0,2,0,https://corona.thueringen.de/covid-19-bulletin
1585728000,37,-1,0,9,0,https://corona.thueringen.de/covid-19-bulletin
1585814400,41,-1,0,9,0,https://corona.thueringen.de/covid-19-bulletin
1585900800,50,-1,0,10,0,https://corona.thueringen.de/covid-19-bulletin
1585900800,60,-1,1,-1,-1,https://www.saale-orla-kreis.de/sok/
1585987200,61,-1,1,11,0,https://corona.thueringen.de/covid-19-bulletin
1586073600,65,-1,1,11,0,https://corona.thueringen.de/covid-19-bulletin
1586163615,70,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1586340023,80,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1586422820,83,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1586851235,94,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1586941238,100,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587042033,101,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587114023,103,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587380438,110,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587463235,113,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587636035,117,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587715239,118,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1587981636,121,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1588150852,123,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1588237239,127,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1588669243,129,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1588759244,132,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1588932045,134,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589198444,136,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589295924,137,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589374842,138,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589457640,139,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589533242,140,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589882439,141,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589886040,143,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1589961638,145,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1590138040,146,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1590573641,148,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1590735642,149,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1591081242,151,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1593432040,152,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1596027627,153,-1,-1,-1,-1,https://www.saale-orla-kreis.de/sok/
1600881057,174,160,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
1600956034,178,160,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
1601377241,178,161,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
1601460039,180,161,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
1601546442,181,162,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
1601625628,182,165,12,-1,-1,https://www.saale-orla-kreis.de/de/corona/aktuelle-mitteilungen-und-informationen-zur-corona-situation-im-saale-orla-kreis.html
