datum,gesamt,genesene,tote,stationaere,schwere,quelle 
1585584004,19,1,0,-1,-1,https://corona.gera.de/
1585674003,22,2,-1,-1,-1,https://corona.gera.de/
1585764003,25,2,-1,-1,-1,https://corona.gera.de/
1585854003,34,2,-1,-1,-1,https://corona.gera.de/
1585933203,35,3,-1,-1,-1,https://corona.gera.de/
1586023203,36,3,-1,-1,-1,https://corona.gera.de/
1586196004,37,3,-1,-1,-1,https://corona.gera.de/
1586289604,39,6,-1,-1,-1,https://corona.gera.de/
1586354404,40,7,-1,-1,-1,https://corona.gera.de/
1586458804,46,7,-1,-1,-1,https://corona.gera.de/
1586535399,47,10,-1,-1,-1,https://corona.gera.de/
1586624404,49,15,-1,-1,-1,https://corona.gera.de/
1586714403,53,18,-1,-1,-1,https://corona.gera.de/
1586800803,55,18,-1,-1,-1,https://corona.gera.de/
1586887204,62,18,-1,-1,-1,https://corona.gera.de/
1586894403,62,20,-1,-1,-1,https://corona.gera.de/
1586970004,75,20,-1,-1,-1,https://corona.gera.de/
