Impfdatum,LandkreisId_Impfort,Altersgruppe,Impfschutz,Anzahl
2020-12-27,16055,18-59,1,43
2020-12-27,16055,60+,1,59
2020-12-28,16055,18-59,1,65
2020-12-28,16055,60+,1,99
2020-12-29,16051,18-59,1,49
2020-12-29,16053,18-59,1,11
2020-12-29,16055,12-17,1,5
2020-12-29,16055,18-59,1,126
2020-12-29,16055,60+,1,314
2020-12-29,16056,18-59,1,43
2020-12-29,16056,60+,1,10
2020-12-29,16077,18-59,1,65
2020-12-30,16051,18-59,1,116
2020-12-30,16051,60+,1,14
2020-12-30,16052,18-59,1,54
2020-12-30,16052,60+,1,9
2020-12-30,16053,18-59,1,55
2020-12-30,16054,18-59,1,14
2020-12-30,16055,18-59,1,43
2020-12-30,16055,60+,1,95
2020-12-30,16056,18-59,1,250
2020-12-30,16056,60+,1,35
2020-12-30,16066,18-59,1,26
2020-12-30,16067,18-59,1,19
2020-12-30,16071,18-59,1,18
2020-12-30,16074,18-59,1,89
2020-12-30,16074,60+,1,10
2020-12-30,16077,18-59,1,216
2020-12-30,16077,60+,1,32
2020-12-31,16053,18-59,1,57
2020-12-31,16053,60+,1,7
2020-12-31,16056,18-59,1,24
2020-12-31,16056,60+,1,6
2020-12-31,16066,18-59,1,6
2020-12-31,16077,18-59,1,31
2020-12-31,16077,60+,1,40
2021-01-01,16053,18-59,1,55
2021-01-02,16053,18-59,1,59
2021-01-02,16053,60+,1,7
2021-01-03,16053,18-59,1,57
2021-01-04,16051,18-59,1,38
2021-01-04,16052,18-59,1,147
2021-01-04,16052,60+,1,13
2021-01-04,16053,18-59,1,118
2021-01-04,16053,60+,1,6
2021-01-04,16054,18-59,1,12
2021-01-04,16054,60+,1,7
2021-01-04,16055,18-59,1,109
2021-01-04,16055,60+,1,207
2021-01-04,16062,18-59,1,15
2021-01-04,16063,18-59,1,162
2021-01-04,16063,60+,1,31
2021-01-04,16074,18-59,1,37
2021-01-04,16077,18-59,1,101
2021-01-04,16077,60+,1,11
2021-01-05,16051,18-59,1,236
2021-01-05,16051,60+,1,16
2021-01-05,16053,18-59,1,159
2021-01-05,16053,60+,1,9
2021-01-05,16054,18-59,1,23
