region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,0,0,1,0,7,3,25,17,8,8,5,5
AP,0,1,1,2,5,4,19,18,8,8,10,7
EA,0,0,0,0,5,1,9,2,4,7,6,2
EF,3,0,1,1,29,28,26,38,16,12,1,5
EIC,1,0,0,1,22,16,43,30,12,15,16,7
G,0,0,2,1,40,25,50,40,36,32,28,17
GRZ,1,1,2,7,58,35,183,76,76,87,108,45
GTH,1,0,2,6,33,40,75,46,25,31,45,22
HBN,0,1,0,2,6,5,24,15,8,10,13,5
IK,1,1,2,3,21,13,29,36,16,21,3,8
J,1,2,1,4,33,41,27,33,8,7,4,4
KYF,0,0,1,1,7,10,10,16,3,4,3,1
NDH,2,0,3,3,4,7,18,19,4,10,1,1
SHK,1,0,2,0,6,11,17,14,10,7,6,1
SHL,0,0,1,0,1,5,2,8,1,5,2,0
SLF,0,0,1,2,5,6,19,15,9,12,3,1
SM,1,1,2,5,25,18,41,33,13,20,15,9
SOK,1,0,2,1,15,14,38,18,17,16,30,7
SOM,0,1,0,0,5,8,10,13,2,7,1,0
SON,4,2,4,1,28,24,69,45,44,38,34,18
UH,0,2,0,1,3,4,29,18,12,14,3,6
WAK,0,0,1,0,10,8,26,27,10,14,4,1
WE,1,3,6,7,14,13,17,22,4,5,3,2
TH,18,15,35,48,382,339,806,599,346,390,344,174
